"","athlete_name","activity_name","period_id","period_name","start_time","end_time","position_name","day_name","total_distance","total_player_load","baseball_throw_count","baseball_swing_count","baseball_throw_maxpl","baseball_swing_maxpl","dynamic_movement_load","time_length","softball_sprint","throw_pl_per_throw","throw_load_per_throw_scaled","swing_load_per_swing","date","weighted_dist"
"1","Eun, Peiffer","Practice","52880b66-98e9-4559-93f6-2ebdb29fc29e","Drill 1","1737500345","1737501108.64","Field","Tuesday",0,145.58987,0,0,11.7073,0,122.5,12.7273333350817,0,0,0,NA,2025-01-21,0
"2","Eun, Peiffer","Practice","0685bead-088f-479f-a796-87c2e3b3ec0c","Drill 2","1740604745.29","1740605766.49","Field","Wednesday",141.50091,0,100,0,0,0,0,17.0200000007947,0,0,59.6289333333333,NA,2025-02-26,0
"3","Eun, Peiffer","Practice","4f090fdd-fc5d-4b81-9501-5b22e68dabfe","Drill 3","1738886106.2","1738888800","Field","Thursday",642.25089,150.01289,0,40,0,0,196,44.8966666658719,0,56.7164533333333,62.1940888888889,0,2025-02-06,182.82645998828
"4","Eun, Peiffer","Practice","e74a6d71-4853-4213-8492-45af89d57ca1","Drill 4","1738274845.18","1738279261.77","Field","Thursday",1300.61861,124.4352,44,15,13.39948,17.5558,235,73.6098333319028,38.14348,0,0,43.9745625,2025-01-30,223.9277896169
"5","Eun, Peiffer","Practice","36863539-adc7-4e61-b16f-e5b7da2f571e","Drill 5","1742936399.89","1742940513.33","Field","Tuesday",1596.88218,191.10753,0,0,0.92047,0,69,68.5573333303134,102.40289,0,0,0,2025-03-25,565.61479962198
"6","Eun, Peiffer","Practice","acebdf7f-760a-4133-9eba-d5e636afccfe","Drill 6","1741360171","1741366135","Field","Friday",2541.41218,299.94403,0,0,22.47255,139.25067,756.5,99.4,0,31.4120916666667,43.3534861111111,0,2025-03-07,352.07899974426
"7","Eun, Peiffer","Game vs University of Illinois Urbana-Champaign","29f105e2-b8d1-494e-a032-f3477b097ce4","Drill 6","1740164115","1740180600","Field","Friday",4825.55536,371.58182,136,0,159.90197,33.26381,961.5,274.75,0,11.1597091935484,0,0,2025-02-21,841.53389973336
"8","Eun, Peiffer","Practice","885fdf17-6a86-44dc-915c-5b3080e5986b","Drill 6","1739467757","1739473957","Field","Thursday",2412.7611,138.88054,0,0,138.37479,66.98103,754.5,103.333333333333,0,77.5203439534884,0,0,2025-02-13,307.30306626903
"9","Eun, Peiffer","Practice","768c3b90-c45b-47ba-9857-c9fdbfc53545","Drill 6","1739917936","1739935053","Field","Tuesday",2304.95313,108.4214,122,0,24.20507,76.0233,1178.5,285.283333333333,0,37.4712237777778,82.4520396296296,102.941937908497,2025-02-18,371.82922759382
"10","Eun, Peiffer","Practice","1832ea7e-92b7-4c7a-bc1b-8fad71aeb056","Drill 6","1740072096","1740078433","Field","Thursday",2187.228,142.39842,0,9,0,121.68254,464,105.616666666667,0,0,30.1552583333333,103.480924561404,2025-02-20,1120.4093044449
"11","Eun, Peiffer","Practice","43ac22a6-fc76-4dca-b11f-e6008c50e02c","Drill 7","1738622095.63","1738622574.83","Field","Monday",32.06679,62.95277,0,53,0,0,82,7.98666666348775,0,NA,NA,24.2077212121212,2025-02-03,41.45888
